series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.4,10,297.5533730999996,297.5663600000007,297.5663600000007,p,1.1784246999995958,298.7541141999991,301.157134699999,301.157134699999,302.1857853999991,318.4282714000001,318.4282714000001,3,3,16.245,318.4282714000001,318.4282714000001,y,3.7884094000000914,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,1,0,1,0,,,,,2.1,20,322.27936260000024,322.3333806999999,322.3333806999999,p,0.9631233000000066,323.3057573999995,325.4102022999996,325.4102022999996,326.426114599999,335.43789579999975,335.43789579999975,10,10,9.012,335.43789579999975,335.43789579999975,y,13.947214600000734,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,2,0,2,0,,,,,2.0,30,349.42180670000016,349.49685189999946,349.49685189999946,p,1.1199256999989302,350.62837799999943,352.6291851999995,352.6291851999995,353.64520769999945,361.3933933999997,361.3933933999997,17,17,7.747,361.3933933999997,361.3933933999997,y,2.38324879999891,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,3,0,3,0,,,,,2.1,40,363.8391539999993,363.89410769999995,363.89410769999995,p,0.6023608999985299,364.50572269999975,366.6097981999992,366.6097981999992,367.6280590999995,382.8458329999994,382.8458329999994,30,30,15.22,382.8458329999994,382.8458329999994,y,34.858434200001284,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,4,0,4,0,,,,,2.2,50,417.73801490000005,417.8173504999995,417.8173504999995,p,0.526794700001119,418.35202690000006,420.5538211999992,420.5538211999992,421.57043180000073,436.9775129999998,436.9775129999998,35,35,15.408,436.9775129999998,436.9775129999998,y,2.1593314000001556,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,5,0,5,0,,,,,2.3,60,439.17353189999994,439.2510996000001,439.2510996000001,p,0.7261345000006258,439.9866884999992,442.2856988000003,442.2856988000003,443.30352069999935,450.11086199999954,450.11086199999954,40,40,6.809,450.11086199999954,450.11086199999954,y,6.94568320000144,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,6,0,6,0,,,,,2.3,70,457.0926822000001,457.16988390000006,457.16988390000006,p,0.47894520000045304,457.6624914999993,459.96145289999913,459.96145289999913,460.97902500000055,468.328315499999,468.328315499999,44,44,7.35,468.328315499999,468.328315499999,y,2.4965920000013284,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,7,0,7,0,,,,,2.0,80,470.86993280000024,470.9419811000007,470.9419811000007,p,0.5625528000000486,471.51140660000056,473.5121189999991,473.5121189999991,474.52988860000005,477.7363048999996,477.7363048999996,49,49,3.204,477.7363048999996,477.7363048999996,y,5.623676499999419,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,8,0,8,0,,,,,2.5,90,483.4189229000003,483.47174369999993,483.47174369999993,p,0.5687586999993073,484.0479685999999,486.54837380000026,486.54837380000026,487.56499540000004,491.0952173000005,491.0952173000005,62,62,3.531,491.0952173000005,491.0952173000005,y,3.9372770999998465,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
0,0,0,0,9,0,9,0,,,,,2.2,100,495.08684379999977,495.14677759999904,495.14677759999904,p,0.43057930000031774,495.5841369999998,497.7860658999998,497.7860658999998,498.8019430000004,504.2842383999996,504.2842383999996,71,71,5.483,504.2842383999996,504.2842383999996,y,2.019890999999916,,,,,,,,,,sub-015,0,750,700,3,2023-06-05_16h43.41.584,painuncertainty_calibration,2022.2.5,143.9544873525567,
