cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,0,0,3,,,,,,,,,,,,,17.141140099999987,23.035361999999992,25.306470199999993,4.3,26.67951819999999,30.98864669999999,30.9882002,0.2992083999999977,31.435385499999995,31.435385499999995,m,1.034920999999997,35.298278499999995,35.298278499999995,69,2.585,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,4,35.298278499999995,39.30105209999999,39.301284299999985,0.3091799999999978,39.75333629999999,39.75333629999999,m,0.7989543000000054,41.966986399999996,41.966986399999996,80,0.837,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,3.2,41.966986399999996,45.17004689999999,45.170150099999994,0.30493330000000185,45.614382899999995,45.614382899999995,n,0.7894443999999936,47.531508099999996,47.531508099999996,20,0.913,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,3.6,47.531508099999996,51.1360706,51.13617849999999,0.30676270000000727,51.5874597,51.5874597,n,0.7787378000000018,53.455432599999995,53.455432599999995,9,1.059,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,8,,,,,,,,3.5,87.2942316,90.79346249999999,90.79336049999999,0.2995110999999895,91.23191679999998,91.23191679999998,n,0.5881123000000201,93.06772840000001,93.06772840000001,10,1.039,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,10,,,,,,,,4.4,93.06772840000001,97.4678525,97.4678661,0.3042658999999901,97.91535359999999,97.91535359999999,n,0.5595297999999929,99.8293613,99.8293613,13,1.148,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,4,,,,,,,,4.2,99.8293613,104.03128119999998,104.0311544,0.3055463999999972,104.47556299999998,104.47556299999998,m,0.6165292000000164,107.2330831,107.2330831,48,1.929,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,0,,,,,,,,3.7,107.2330831,110.93483339999999,110.934791,0.30563340000000494,111.37905499999998,111.37905499999998,m,0.4755889000000053,112.90796769999999,112.90796769999999,59,0.847,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,5,,,,,,,,4.5,112.90796769999999,117.4078426,117.40780869999999,0.3019204000000002,117.85234869999998,117.85234869999998,n,0.6082375000000155,120.67839779999998,120.67839779999998,19,2.019,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,3,,,,,,,,4.8,120.67839779999998,125.47818159999998,125.47813459999999,0.30334080000000085,125.9227431,125.9227431,m,0.5112453000000272,128.04951239999997,128.04951239999997,61,1.423,,,sub-018,50,100,700,bloc_loop.csv,2023-05-31_12h33.58.155,PainUncertainty,2022.2.5,143.34513063758314,
