cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,0,0,0,,,,,,,,,,,,,30.43659340000022,32.69118389999994,42.00510510000004,4.5,45.52794660000018,50.02965510000013,50.033814900000195,0.3012533999999505,50.4714355000001,50.4714355000001,n,0.8557974000000286,53.865902200000164,53.865902200000164,22,2.442,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,4.6,53.865902200000164,58.46592260000034,58.4660627000002,0.30475780000006125,58.91239489999998,58.91239489999998,m,0.8441991999998208,62.0176891000001,62.0176891000001,50,2.184,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,4.9,62.0176891000001,66.91991250000001,66.91815119999993,0.3049026000003323,67.3619990000002,67.3619990000002,n,1.411607400000321,73.3331148000002,73.3331148000002,18,4.482,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,5,73.3331148000002,78.33640659999992,78.33630710000025,0.30533180000020366,78.78280450000011,78.78280450000011,m,0.6045742999999675,83.20262700000012,83.20262700000012,50,3.788,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,3,139.7833329,142.78829470000028,142.78823679999996,0.3050853999998253,143.2326068000002,143.2326068000002,m,0.918694499999674,147.34426359999998,147.34426359999998,49,3.108,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,5,,,,,,,,3.7,147.34426359999998,151.04645710000023,151.04625920000026,0.3051282999999785,151.49039660000017,151.49039660000017,n,0.649671600000147,154.24851850000005,154.24851850000005,15,2.046,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,9,,,,,,,,4.1,154.24851850000005,158.35306570000012,158.35299909999995,0.3049240999998801,158.7968919,158.7968919,n,0.6716123999999581,162.64086410000027,162.64086410000027,14,3.101,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,4,,,,,,,,3.2,162.64086410000027,165.84664360000033,165.84668430000002,0.3049754999997276,166.29081829999996,166.29081829999996,m,0.7859665000000859,170.85824559999992,170.85824559999992,48,3.706,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,6,,,,,,,,3.6,170.85824559999992,174.4589493000003,174.45873640000028,0.3067755000001853,174.91053030000012,174.91053030000012,n,0.5984844999998131,178.09788509999998,178.09788509999998,14,2.531,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,7,,,,,,,,4.5,178.09788509999998,182.59858750000012,182.59849680000016,0.30520739999974467,183.04287109999996,183.04287109999996,n,2.087201300000288,189.31944939999994,189.31944939999994,15,4.122,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,2,,,,,,,,3.2,189.31944939999994,192.52355290000014,192.52345750000032,0.2996769999999742,192.96834040000022,192.96834040000022,m,0.7446471999996902,195.90742640000008,195.90742640000008,46,2.135,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,11,,,,,,,,4.5,195.90742640000008,200.4067731,200.40682910000024,0.30514750000020285,200.85359240000025,200.85359240000025,m,0.6501260000000002,203.8997875,203.8997875,50,2.318,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,4.1,203.8997875,208.00449230000004,208.00442200000035,0.305135799999789,208.44875930000035,208.44875930000035,n,0.5506616000002396,213.93614650000018,213.93614650000018,14,4.872,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,10,,,,,,,,3.9,213.93614650000018,217.83954140000014,217.83946050000023,0.305179599999974,218.28544220000003,218.28544220000003,n,0.9711373999998614,222.72797200000014,222.72797200000014,11,3.399,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,3,,,,,,,,4.3,222.72797200000014,227.0277761000002,227.02765609999997,0.30511299999989205,227.47419260000015,227.47419260000015,m,0.6439632999999958,231.02428280000004,231.02428280000004,45,2.857,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,0,,,,,,,,3.6,231.02428280000004,234.6258729000001,234.62590630000014,0.30500679999977365,235.07001200000013,235.07001200000013,m,0.579231499999878,237.90042790000007,237.90042790000007,44,2.169,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,8,,,,,,,,3.4,237.90042790000007,241.3022178000001,241.300979,0.30029930000000604,241.74520260000008,241.74520260000008,n,1.0352006000002802,245.8438484000003,245.8438484000003,11,2.988,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,3,,,,,,,,3.5,245.8438484000003,249.34356520000028,249.3435665000001,0.30497860000014043,249.78970830000026,249.78970830000026,m,0.6940331999999216,252.6691390000001,252.6691390000001,44,2.115,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,4,,,,,,,,4.5,252.6691390000001,257.17037800000026,257.1703900000001,0.3049020000003111,257.61454890000005,257.61454890000005,m,0.6479748000001564,260.5973137000001,260.5973137000001,47,2.267,,,sub-028,55,110,700,bloc_loop.csv,2023-06-21_08h34.44.889,PainUncertainty,2022.2.5,144.19444332306034,
