cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,0,0,0,,,,,,,,,,,,,24.88587550000011,26.992728499999885,31.625893800000085,4.6,34.57161330000008,39.17632360000016,39.175442760000166,0.30498320000015156,39.619695800000045,39.619695800000045,n,0.8659079999993082,44.04341000000022,44.04341000000022,29,3.488,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,3.5,44.04341000000022,47.54605390000006,47.544644460000015,0.30468199999995704,47.988584600000195,47.988584600000195,None,,52.800936699999966,52.800936699999966,5,2.315,50.45750530000032,50.45750530000032,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,4.3,52.800936699999966,57.100796300000184,57.10089746000021,0.3050791999999092,57.54499710000027,57.54499710000027,m,1.2501840999998421,61.22529740000027,61.22529740000027,65,2.371,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,3.6,61.22529740000027,64.82438410000032,64.82449316000002,0.3045922999999675,65.26844170000004,65.26844170000004,m,1.1817927999995845,67.7321222999999,67.7321222999999,67,1.254,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,3.8,86.40099120000013,90.20215460000009,90.20210156000012,0.3018062999999529,90.6474677000001,90.6474677000001,m,0.9212981999999101,94.1683436000003,94.1683436000003,70,2.545,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,5,,,,,,,,4.4,94.1683436000003,98.57142180000028,98.5713512600003,0.30527150000034453,99.01867799999991,99.01867799999991,n,0.7456663999996636,102.14316370000006,102.14316370000006,10,2.322,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,11,,,,,,,,3,102.14316370000006,105.14906440000004,105.14883786,0.30527269999993223,105.59744940000019,105.59744940000019,m,0.8092233999996097,109.03302140000005,109.03302140000005,78,2.559,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,1,,,,,,,,3.2,109.03302140000005,112.23291250000011,112.23292456000017,0.30495429999973567,112.68383380000023,112.68383380000023,m,1.55318299999999,115.4250076000003,115.4250076000003,66,1.135,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,8,,,,,,,,3.9,115.4250076000003,119.3306293999999,119.33075295999997,0.3050546000004033,119.77721490000022,119.77721490000022,n,0.6568523999994795,122.8915506000003,122.8915506000003,11,2.394,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,7,,,,,,,,3.2,122.8915506000003,126.09588320000012,126.09571766000026,0.30501109999977416,126.54324350000024,126.54324350000024,n,0.6570741999998972,130.7073336000003,130.7073336000003,7,3.442,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,3,,,,,,,,4.2,130.7073336000003,134.90914550000025,134.90891926000023,0.3051728999998886,135.3529722000003,135.3529722000003,m,0.7661052999997082,137.73864140000023,137.73864140000023,81,1.566,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,4,,,,,,,,3.2,137.73864140000023,140.94437700000026,140.9442792600001,0.30505360000006476,141.3884361999999,141.3884361999999,m,0.8154763999996248,143.50897220000024,143.50897220000024,76,1.24,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,2,,,,,,,,3,143.50897220000024,146.5144395000002,146.51441035999989,0.3050873000001957,146.95850240000027,146.95850240000027,m,0.6292006999997284,149.77407119999998,149.77407119999998,79,2.134,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,6,,,,,,,,4.2,149.77407119999998,153.97367609999992,153.97382546,0.3047685999999885,154.4220696000002,154.4220696000002,n,0.618810499999654,156.7435448000001,156.7435448000001,10,1.645,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,9,,,,,,,,3.5,156.7435448000001,160.24569060000022,160.24568886000026,0.30484240000032514,160.6898209000001,160.6898209000001,n,0.7049617999996372,162.51315290000002,162.51315290000002,10,1.066,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,10,,,,,,,,5,162.51315290000002,167.51699400000007,167.5171074600001,0.30504570000039166,167.96161100000018,167.96161100000018,n,0.6218973000000005,169.45190760000014,169.45190760000014,10,0.803,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,10,,,,,,,,4.4,169.45190760000014,173.85110170000007,173.8511151599999,0.30006460000004154,174.29598310000029,174.29598310000029,n,0.6531310999994275,177.18768450000016,177.18768450000016,15,2.183,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,7,,,,,,,,3.6,177.18768450000016,180.78973240000005,180.79008916000004,0.30476610000005167,181.23589200000015,181.23589200000015,n,0.6491826999995283,184.3791381000001,184.3791381000001,19,2.434,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,4,,,,,,,,3.3,184.3791381000001,187.6791902,187.67918205999996,0.3054096999999274,188.13070180000022,188.13070180000022,m,0.6718566999993527,191.82944709999992,191.82944709999992,79,2.964,,,,,sub-030,20,60,700,bloc_loop.csv,2023-06-28_08h09.20.572,PainUncertainty,2022.2.5,142.91410433569465,
