cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,choice_pain.stopped,Choice.stopped,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,0,0,2,,,,,,,,,,,,,29.44026010000016,31.75335880000057,33.51770890000262,3.9,37.13110070000039,41.03464670000176,41.040260020001,0.30181509999965783,41.47841590000098,41.47841590000098,n,1.4880583999984083,44.943965900001785,44.943965900001785,3,1.884,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,3.9,44.943965900001785,48.84595510000145,48.84599471000256,0.29905739999958314,49.287963599999784,49.287963599999784,m,1.1395185999972455,53.926275000001624,53.926275000001624,5,3.441,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,4.5,53.926275000001624,58.43040020000262,58.43038611000229,0.305664199997409,58.87943649999943,58.87943649999943,m,0.8951638999969873,63.4396192000022,63.4396192000022,4,3.588,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,3.6,63.4396192000022,67.0433653,67.04299521000284,0.2994144999975106,67.4856600000021,67.4856600000021,n,0.806013499997789,69.79262870000093,69.79262870000093,2,1.476,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,5,,,,,,,,3.3,98.04682850000245,101.3455606000025,101.34595761000018,0.3046589000005042,101.78967159999956,101.78967159999956,n,1.1690980999992462,105.54264800000237,105.54264800000237,3,2.508,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,4.9,105.54264800000237,110.44396840000263,110.44408490999994,0.30030249999981606,110.88832750000074,110.88832750000074,m,1.6324279999971623,116.17387040000176,116.17387040000176,2,3.572,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,9,,,,,,,,4.6,116.17387040000176,120.77875320000021,120.77921590999976,0.30485050000061165,121.2273537000001,121.2273537000001,n,0.7675559999952384,125.7169971000003,125.7169971000003,1,3.634,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,0,,,,,,,,4.8,125.7169971000003,130.51607060000242,130.5161442100005,0.30527230000006966,130.96403980000105,130.96403980000105,m,0.913281699999061,134.8433401000002,134.8433401000002,4,2.879,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,10,,,,,,,,3.4,134.8433401000002,138.24574209999992,138.24582621000155,0.30521690000023227,138.68996400000105,138.68996400000105,n,1.2867569999980333,142.54662980000285,142.54662980000285,2,2.504,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,7,,,,,,,,4,142.54662980000285,146.55259280000246,146.55242471000093,0.30030450000049314,146.9975712000014,146.9975712000014,n,0.7663376999953471,149.61442050000187,149.61442050000187,4,1.781,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,8,,,,,,,,3.9,149.61442050000187,153.5187681000025,153.51899311000017,0.30476999999882537,153.96281880000242,153.96281880000242,n,0.68660109999837,155.49578200000178,155.49578200000178,53,0.775,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,2,,,,,,,,4.6,155.49578200000178,160.09567750000133,160.0956742100032,0.3050954999998794,160.5398466000006,160.5398466000006,m,1.400985899996158,164.23825390000275,164.23825390000275,7,2.234,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,4,,,,,,,,3.8,164.23825390000275,168.04160650000267,168.04173451000025,0.30486999999993714,168.48619540000072,168.48619540000072,m,0.6367472999991151,171.88023290000274,171.88023290000274,9,2.698,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,3,,,,,,,,4.8,171.88023290000274,176.6811168000022,176.68119041000028,0.3050394999991113,177.12519109999994,177.12519109999994,m,0.718630999996094,179.48886010000206,179.48886010000206,14,1.58,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,11,,,,,,,,4.3,179.48886010000206,183.79341639999984,183.79339341000087,0.3047742999988259,184.23724610000136,184.23724610000136,m,1.4677946999981941,187.1448010000022,187.1448010000022,11,1.37,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,6,,,,,,,,3.6,187.1448010000022,190.74564380000083,190.74557031000296,0.3003576000010071,191.18977180000002,191.18977180000002,n,0.6130397999986599,193.2358236,193.2358236,3,1.378,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,5,,,,,,,,4.7,193.2358236,197.94059790000028,197.94086691000194,0.3048503999998502,198.38483890000134,198.38483890000134,n,0.8965103999980784,201.25918120000279,201.25918120000279,4,1.928,,,,,sub-044,75,110,700,bloc_loop.csv,2023-08-24_15h23.12.081,PainUncertainty,2022.2.5,142.95435182165255,
