series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.stopped,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.5,10,336.93178049998824,336.98313579999376,336.98313579999376,p,10.499992400000338,347.49084199999925,349.99284319998696,349.99284319998696,361.28341720002936,361.28341720002936,0,0,10.258,361.28341720002936,361.28341720002936,y,2.584114400029648,,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,1,0,1,0,,,,,2.3,20,363.9016253000009,363.9791022000136,363.9791022000136,p,1.1446344999712892,365.1324177000206,367.4383535999805,367.4383535999805,372.01982480002334,372.01982480002334,0,0,3.567,372.01982480002334,372.01982480002334,y,2.2391417999751866,368.45351419999497,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,2,0,2,0,,,,,2.5,30,374.3021375000244,374.37626089999685,374.37626089999685,p,0.5793747999705374,374.9666905999766,377.4668655000278,377.4668655000278,382.3266393999802,382.3266393999802,9,9,3.843,382.3266393999802,382.3266393999802,y,2.3082642999943346,378.4847662000102,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,3,0,3,0,,,,,2.3,40,384.6890955999843,384.7459625999909,384.7459625999909,p,0.49758660001680255,385.2524358999799,387.5510048000142,387.5510048000142,391.89914009999484,391.89914009999484,16,16,3.33,391.89914009999484,391.89914009999484,y,2.0402577000204474,388.56951860000845,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,4,0,4,0,,,,,2.4,50,393.98778229998425,394.05279789998895,394.05279789998895,p,0.6147437000181526,394.6773802000098,397.0803173999884,397.0803173999884,400.5649188000243,400.5649188000243,25,25,2.467,400.5649188000243,400.5649188000243,y,1.5339467000449076,398.09786390000954,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,5,0,5,0,,,,,2.2,60,402.13643090002006,402.2132728000288,402.2132728000288,p,0.7339562000124715,402.9567208000226,405.15791660000104,405.15791660000104,410.5797433999833,410.5797433999833,40,40,4.407,410.5797433999833,410.5797433999833,y,1.8638365999795496,406.1748997999821,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,6,0,6,0,,,,,2.0,70,412.4887563000084,412.5612293999875,412.5612293999875,p,0.658545000012964,413.2282844000147,415.22837089997483,415.22837089997483,419.8743887000019,419.8743887000019,50,50,3.63,419.8743887000019,419.8743887000019,y,1.2093391999951564,416.24376380001195,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,7,0,7,0,,,,,2.3,80,421.1486403000308,421.20158029999584,421.20158029999584,p,0.6658938000327908,421.8750276999781,424.1806901000091,424.1806901000091,429.3044973000069,429.3044973000069,83,83,4.109,429.3044973000069,429.3044973000069,y,1.258916299964767,,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,8,0,8,0,,,,,2.4,90,430.6068366999971,430.6750027000089,430.6750027000089,p,0.5359316000249237,431.22343230003025,433.6264408000279,433.6264408000279,444.236524500011,444.236524500011,95,95,9.595,444.236524500011,444.236524500011,n,2.062494399957359,434.6418278000201,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
