cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,0,0,2,,,,,,,,,,,,,29.12636290000046,188.50988150000012,197.233143200001,3.2,198.50006170000051,201.71160939999936,201.7128946600002,0.3038488000001962,202.15057809999962,202.15057809999962,m,1.5691201000008732,209.02776760000052,209.02776760000052,31,5.23,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,4,209.02776760000052,213.02723400000104,213.0273302800004,0.3051993000008224,213.4752681000009,213.4752681000009,m,1.1605884000000515,218.3138665000006,218.3138665000006,51,3.601,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,3.4,218.3138665000006,221.71771070000068,221.72223846000054,0.3041263000013714,222.1598783999998,222.1598783999998,n,0.5878763999990042,226.51365869999972,226.51365869999972,25,3.691,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,3.6,226.51365869999972,230.1192207999993,230.11921268000043,0.2998336000000563,230.56412939999973,230.56412939999973,m,0.8248246000002837,233.44318139999996,233.44318139999996,79,2.027,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,3,,,,,,,,4.9,262.25606510000034,267.15881210000043,267.1587283800007,0.3049190000001545,267.60263080000004,267.60263080000004,m,0.791165099999489,269.336685100001,269.336685100001,70,0.874,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,5,,,,,,,,3.6,269.336685100001,272.936886200001,272.93690088000113,0.305136399998446,273.38125349999973,273.38125349999973,n,0.8095079999984591,276.0679175000005,276.0679175000005,21,1.803,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,3,276.0679175000005,279.0700152999998,279.06995058000103,0.30546529999992345,279.5163200999996,279.5163200999996,m,0.8735292000001209,282.63686229999985,282.63686229999985,78,2.164,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,9,,,,,,,,4.7,282.63686229999985,287.34166430000005,287.34168308000045,0.3052095000002737,287.78562389999934,287.78562389999934,n,0.7513742999999522,291.7460811000001,291.7460811000001,10,3.142,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,6,,,,,,,,4.5,291.7460811000001,296.2460355000003,296.24582317999995,0.2995958999999857,296.68968719999975,296.68968719999975,n,0.6781544000004942,298.8598383000008,298.8598383000008,19,1.42,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,11,,,,,,,,3.2,298.8598383000008,302.06545410000035,302.06557398000115,0.3050117999991926,302.50963989999946,302.50963989999946,m,0.6909620000005816,305.4290636000005,305.4290636000005,80,2.157,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,7,,,,,,,,3.2,305.4290636000005,308.62870190000103,308.6287781800009,0.3050017999994452,309.0731135999995,309.0731135999995,n,0.4864049999996496,311.8404690999996,311.8404690999996,14,2.21,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,4,,,,,,,,4.5,311.8404690999996,316.3452553999996,316.3451095799999,0.30518859999938286,316.7893906999998,316.7893906999998,m,0.5770725999991555,319.0650157,319.0650157,76,1.614,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,10,,,,,,,,4.4,319.0650157,323.4645295999999,323.46460018,0.3001090999987355,323.90877,323.90877,n,0.5588621999995667,327.1357251999998,327.1357251999998,25,2.615,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,8,,,,,,,,3,327.1357251999998,330.13833089999935,330.13840458000124,0.30518169999959355,330.5824637000005,330.5824637000005,n,0.6147321999997075,334.66560430000027,334.66560430000027,21,3.386,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,1,,,,,,,,3,334.66560430000027,337.6670787000003,337.66703837999995,0.30510809999941557,338.1111720000008,338.1111720000008,m,0.8426159999999072,342.76978770000096,342.76978770000096,78,3.761,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,0,,,,,,,,3.1,342.76978770000096,345.8694668999997,345.8696026799997,0.3051099999993312,346.32095760000084,346.32095760000084,m,0.5780532999997376,348.87631750000037,348.87631750000037,80,1.9,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,8,,,,,,,,4.4,348.87631750000037,353.28041010000015,353.28045128000014,0.3051429000006465,353.72800989999996,353.72800989999996,n,0.5974002999992081,355.6705127000005,355.6705127000005,20,1.26,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,3,,,,,,,,3.6,355.6705127000005,359.2763709999999,359.274433880001,0.30045699999936915,359.7199521000002,359.7199521000002,m,0.7075237999997626,362.72067849999985,362.72067849999985,74,2.223,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,0,,,,,,,,3.2,362.72067849999985,365.92047430000093,365.9205337800002,0.30522430000019085,366.364717800001,366.364717800001,m,0.5652172999998584,369.92849600000045,369.92849600000045,80,2.921,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,3,15,7,,,,,,,,3.4,369.92849600000045,373.3310708000008,373.33106538000067,0.30516499999976077,373.77535460000036,373.77535460000036,n,0.49635979999948177,375.52351120000094,375.52351120000094,18,1.171,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,4,16,2,,,,,,,,3.3,375.52351120000094,378.82502209999984,378.8248611799998,0.3051003000000492,379.26938809999956,379.26938809999956,m,0.6440536999998585,382.2694900000006,382.2694900000006,82,2.277,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,5,17,10,,,,,,,,4.9,382.2694900000006,387.1730764999993,387.17302748000003,0.3052026000004844,387.61722250000093,387.61722250000093,n,0.46709499999997206,389.0130415000003,389.0130415000003,23,0.865,,,sub-015,60,115,700,bloc_loop.csv,2023-06-05_17h02.44.436,PainUncertainty,2022.2.5,142.7394847376046,
