cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,choice_pain.stopped,Choice.stopped,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,0,0,3,,,,,,,,,,,,,32.603634000000966,182.58513360000143,252.64916380000068,5,257.9744330000012,262.9779302000006,262.9837428800008,0.3052205000003596,263.42101170000024,263.42101170000024,m,1.3446112999990874,269.2235202000011,269.2235202000011,60,4.386,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,3,269.2235202000011,272.22790239999995,272.22785879000037,0.3049671999997372,272.67201730000124,272.67201730000124,m,1.036473099997238,277.0435036000017,277.0435036000017,68,3.268,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,4.5,277.0435036000017,281.54896630000076,281.54886638999994,0.2993831000003411,281.99158310000166,281.99158310000166,n,1.3138714999968215,286.96902730000147,286.96902730000147,34,3.607,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,4,286.96902730000147,290.973103100001,290.97333448999996,0.30487039999934495,291.4245155000008,291.4245155000008,n,1.1483019999977842,295.3470023000009,295.3470023000009,25,2.747,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,3.5,363.6615550000006,367.1629257000004,367.1629883900008,0.305497600000308,367.6099602000013,367.6099602000013,m,0.9269786999975622,371.74964250000085,371.74964250000085,62,3.15,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,10,,,,,,,,4.9,371.74964250000085,376.65050730000075,376.65049459,0.30526499999905354,377.0981464000015,377.0981464000015,n,0.9774059999981546,381.07174360000135,381.07174360000135,26,2.928,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,3.9,381.07174360000135,384.9709696000009,384.9709990900013,0.30497290000130306,385.41482240000005,385.41482240000005,m,1.0622503999984474,389.6071728000006,389.6071728000006,65,3.08,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,6,,,,,,,,3.6,389.6071728000006,393.20787250000103,393.2078022900008,0.30501510000067356,393.65194070000143,393.65194070000143,n,1.0494833999982802,398.2724664000016,398.2724664000016,31,3.511,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,11,,,,,,,,4.2,398.2724664000016,402.4730797000011,402.47340939000094,0.30491500000061933,402.91943490000085,402.91943490000085,m,1.50708769999801,407.27343180000025,407.27343180000025,64,2.783,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,9,,,,,,,,4.7,407.27343180000025,411.9739608,411.97397729000147,0.30001269999957003,412.4182914000012,412.4182914000012,n,1.036496899998383,417.6504567000011,417.6504567000011,22,4.13,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,8,,,,,,,,4.1,417.6504567000011,421.75284140000076,421.75295119000145,0.3050762999992003,422.20092410000143,422.20092410000143,n,0.9698307999969984,425.8670763000009,425.8670763000009,16,2.63,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,4,,,,,,,,4.5,425.8670763000009,430.3720107000008,430.3721353900004,0.30499240000062855,430.8202300000012,430.8202300000012,m,1.0504640999970434,434.54753580000033,434.54753580000033,65,2.615,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,7,,,,,,,,3.5,434.54753580000033,438.046548100001,438.0465757900005,0.30480329999954847,438.49065470000096,438.49065470000096,n,1.1730012999978499,443.16578990000016,443.16578990000016,17,3.447,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,3,,,,,,,,4.8,443.16578990000016,447.9712872,447.97141929000134,0.3050951000004716,448.4155858000013,448.4155858000013,m,1.0227152999996179,451.07970940000087,451.07970940000087,70,1.571,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,5,,,,,,,,3,451.07970940000087,454.08327050000116,454.0832896900014,0.30499539999982517,454.5277291000002,454.5277291000002,n,1.3346531999977742,458.8636733000003,458.8636733000003,14,2.934,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,1,,,,,,,,3,458.8636733000003,461.8696314000008,461.8692744900003,0.3054467999991175,462.3178475000004,462.3178475000004,m,1.3940994999975374,466.8735120000001,466.8735120000001,69,3.092,,,,,sub-062,45,85,700,bloc_loop.csv,2023-10-25_15h52.34.797,PainUncertainty,2022.2.5,143.1419954253813,
